id,cargo_type,commodity,quantity,origin,destination_port_id,laycan_start,laycan_end,contract_preference,required_vessel_type,loading_date,discharge_deadline,priority,contract_type,freight_rate,currency,charter_duration,special_requirements,created_at
34,Coking Coal,PCI Coal,78800,"Vostochny, Russia",9,2025-08-31,2025-09-05,Spot,Panamax,2025-09-01,2025-10-23,Normal,Spot,39.76,USD,50,Geared vessel required,2025-08-06T00:00:00Z
35,Coking Coal,PCI Coal,147600,"Samarinda, Indonesia",1,2024-04-28,2024-05-05,Spot,Capesize,2024-04-29,2024-05-18,Normal,Spot,13.04,USD,20,Standard,2024-04-16T00:00:00Z
36,Coking Coal,PCI Coal,167500,"Hay Point, Australia",4,2021-01-17,2021-01-22,Spot,Capesize,2021-01-19,2021-02-17,Normal,Spot,20.7,USD,30,Standard,2021-01-07T00:00:00Z
37,Coking Coal,Semi-Soft Coking Coal,57600,"Balikpapan, Indonesia",1,2025-09-12,2025-09-17,CoA,Supramax,2025-09-13,2025-10-04,Normal,CoA,15.55,USD,20,Standard,2025-08-26T00:00:00Z
38,Coking Coal,Semi-Soft Coking Coal,170100,"Port Hedland, Australia",3,2025-09-07,2025-09-17,CoA,Capesize,2025-09-09,2025-10-08,Normal,CoA,21.65,USD,30,Standard,2025-08-21T00:00:00Z
39,Coking Coal,Semi-Soft Coking Coal,65600,"Samarinda, Indonesia",3,2026-01-06,2026-01-11,Spot,Panamax,2026-01-07,2026-01-27,Normal,Spot,16.43,USD,20,Standard,2025-12-17T00:00:00Z
40,Coking Coal,Semi-Soft Coking Coal,77600,"Baltimore, USA",4,2022-12-27,2023-01-01,CoA,Panamax,2022-12-31,2023-02-22,Normal,CoA,38.5,USD,50,Standard,2022-11-30T00:00:00Z
41,Coking Coal,PCI Coal,168400,"Maputo, Mozambique",4,2025-01-23,2025-01-28,Spot,Capesize,2025-01-26,2025-03-16,Normal,Spot,33.12,USD,50,Standard,2025-01-02T00:00:00Z
42,Coking Coal,Hard Coking Coal,56600,"Balikpapan, Indonesia",3,2024-05-26,2024-06-05,Spot,Supramax,2024-06-02,2024-06-24,Normal,Spot,12.14,USD,20,Standard,2024-05-06T00:00:00Z
43,Thermal Coal,Non-Coking Coal Grade G1-G5,59200,"Tanjung Priok, Indonesia",2,2023-03-12,2023-03-19,CoA,Supramax,2023-03-14,2023-04-03,Normal,CoA,16.68,USD,20,Standard,2023-02-28T00:00:00Z
44,Coking Coal,PCI Coal,81700,"Samarinda, Indonesia",1,2025-06-11,2025-06-18,Spot,Panamax,2025-06-16,2025-07-08,Normal,Spot,14.4,USD,20,Standard,2025-05-27T00:00:00Z
45,Coking Coal,Semi-Soft Coking Coal,28300,"Vostochny, Russia",6,2025-06-28,2025-07-03,Spot,Handysize,2025-07-02,2025-08-21,Normal,Spot,44.36,USD,50,Standard,2025-05-31T00:00:00Z
46,Coking Coal,Semi-Soft Coking Coal,165600,"Tanjung Priok, Indonesia",3,2021-12-08,2021-12-18,Spot,Capesize,2021-12-14,2022-01-03,Normal,Spot,15.2,USD,20,Standard,2021-11-11T00:00:00Z
47,Coking Coal,Semi-Soft Coking Coal,79600,"Port Hedland, Australia",4,2024-12-09,2024-12-14,CoA,Panamax,2024-12-13,2025-01-15,Normal,CoA,23.96,USD,30,Standard,2024-11-25T00:00:00Z
48,Coking Coal,Hard Coking Coal,76000,"Balikpapan, Indonesia",2,2021-02-06,2021-02-13,Spot,Panamax,2021-02-12,2021-03-01,Normal,Spot,13.32,USD,20,Standard,2021-01-09T00:00:00Z
49,Thermal Coal,Indonesian High Calorie Coal,75800,"Tanjung Priok, Indonesia",1,2023-03-03,2023-03-10,CoA,Panamax,2023-03-09,2023-03-29,Normal,CoA,13.08,USD,20,Standard,2023-02-15T00:00:00Z
50,Coking Coal,Hard Coking Coal,148700,"Tanjung Priok, Indonesia",1,2022-08-08,2022-08-15,Spot,Capesize,2022-08-10,2022-08-29,Normal,Spot,10.67,USD,20,Standard,2022-08-01T00:00:00Z
51,Coking Coal,Hard Coking Coal,162900,"Norfolk, USA",1,2021-02-04,2021-02-11,Spot,Capesize,2021-02-10,2021-04-01,Normal,Spot,31.18,USD,50,Standard,2021-01-22T00:00:00Z
52,Iron Ore,Iron Ore Pellets,70400,"Port Hedland, Australia",2,2021-03-23,2021-03-28,Spot,Panamax,2021-03-26,2021-04-26,Normal,Spot,21.85,USD,30,Standard,2021-03-09T00:00:00Z
53,Coking Coal,Semi-Soft Coking Coal,51600,"Maputo, Mozambique",2,2024-06-01,2024-06-06,Spot,Supramax,2024-06-04,2024-07-22,Normal,Spot,34.81,USD,50,Standard,2024-05-12T00:00:00Z
54,Coking Coal,Hard Coking Coal,61500,"Baltimore, USA",1,2023-06-20,2023-06-27,Spot,Supramax,2023-06-25,2023-08-15,High,Spot,37.17,USD,50,Standard,2023-06-09T00:00:00Z
55,Coking Coal,Semi-Soft Coking Coal,71600,"Balikpapan, Indonesia",3,2023-11-14,2023-11-19,Spot,Panamax,2023-11-18,2023-12-09,Normal,Spot,15.34,USD,20,Self-unloader preferred,2023-10-24T00:00:00Z
56,Coking Coal,PCI Coal,74600,"Port Hedland, Australia",2,2025-04-19,2025-05-03,Spot,Panamax,2025-04-22,2025-05-19,High,Spot,23.21,USD,30,Fast discharge required,2025-04-05T00:00:00Z
57,Coking Coal,PCI Coal,183400,"Norfolk, USA",4,2021-10-05,2021-10-12,Spot,Capesize,2021-10-06,2021-11-22,Normal,Spot,30.32,USD,50,Standard,2021-09-14T00:00:00Z
58,Coking Coal,PCI Coal,159200,"Tanjung Priok, Indonesia",4,2022-04-22,2022-04-29,CoA,Capesize,2022-04-28,2022-05-15,Normal,CoA,12.87,USD,20,Standard,2022-04-11T00:00:00Z
59,Coking Coal,Semi-Soft Coking Coal,69100,"Baltimore, USA",3,2025-06-09,2025-06-14,Spot,Panamax,2025-06-10,2025-07-31,Normal,Spot,36.47,USD,50,Self-unloader preferred,2025-05-27T00:00:00Z
60,Coking Coal,PCI Coal,69500,"Maputo, Mozambique",1,2024-03-02,2024-03-16,Spot,Panamax,2024-03-04,2024-04-22,Normal,Spot,35.14,USD,50,Standard,2024-02-20T00:00:00Z
61,Coking Coal,Hard Coking Coal,51900,"Maputo, Mozambique",3,2021-06-04,2021-06-11,CoA,Supramax,2021-06-07,2021-07-30,Normal,CoA,36.06,USD,50,Standard,2021-05-11T00:00:00Z
62,Coking Coal,PCI Coal,58700,"Hay Point, Australia",1,2022-11-25,2022-12-02,Spot,Supramax,2022-11-27,2022-12-25,Normal,Spot,25.45,USD,30,Standard,2022-11-07T00:00:00Z
63,Coking Coal,PCI Coal,76500,"Samarinda, Indonesia",2,2025-08-26,2025-09-02,Spot,Panamax,2025-08-31,2025-09-23,Normal,Spot,14.2,USD,20,Standard,2025-07-28T00:00:00Z
64,Coking Coal,Hard Coking Coal,68700,"Maputo, Mozambique",8,2022-10-15,2022-10-20,CoA,Panamax,2022-10-17,2022-12-06,Normal,CoA,38.77,USD,50,Self-unloader preferred,2022-09-26T00:00:00Z
65,Thermal Coal,Non-Coking Coal Grade G1-G5,73300,"Samarinda, Indonesia",1,2025-07-12,2025-07-17,Spot,Panamax,2025-07-13,2025-08-05,Normal,Spot,18.45,USD,20,Standard,2025-06-26T00:00:00Z
66,Thermal Coal,Non-Coking Coal Grade G1-G5,72900,"Port Hedland, Australia",2,2022-03-10,2022-03-17,Spot,Panamax,2022-03-15,2022-04-15,Normal,Spot,23.23,USD,30,Standard,2022-02-16T00:00:00Z
67,Coking Coal,Semi-Soft Coking Coal,173500,"Baltimore, USA",3,2023-08-29,2023-09-03,CoA,Capesize,2023-08-31,2023-10-22,Normal,CoA,34.6,USD,50,Standard,2023-08-07T00:00:00Z
68,Thermal Coal,Non-Coking Coal Grade G1-G5,27400,"Hay Point, Australia",6,2024-06-10,2024-06-17,Spot,Handysize,2024-06-14,2024-07-15,High,Spot,26.1,USD,30,Standard,2024-05-21T00:00:00Z
69,Coking Coal,PCI Coal,50100,"Tanjung Priok, Indonesia",3,2024-09-27,2024-10-02,CoA,Supramax,2024-09-30,2024-10-22,Urgent,CoA,15.57,USD,20,Standard,2024-09-08T00:00:00Z
70,Coking Coal,PCI Coal,144300,"Maputo, Mozambique",1,2025-02-25,2025-03-02,Spot,Capesize,2025-02-28,2025-04-20,Normal,Spot,31.64,USD,50,Standard,2025-02-08T00:00:00Z
71,Iron Ore,Iron Ore Pellets,68900,"Hay Point, Australia",1,2024-04-22,2024-04-29,CoA,Panamax,2024-04-23,2024-05-23,Normal,CoA,22.3,USD,30,Fast discharge required,2024-04-06T00:00:00Z
72,Coking Coal,Hard Coking Coal,163900,"Newcastle, Australia",1,2025-01-18,2025-01-23,Spot,Capesize,2025-01-19,2025-02-19,High,Spot,18.26,USD,30,Low moisture cargo,2025-01-06T00:00:00Z
73,Coking Coal,PCI Coal,50900,"Vostochny, Russia",2,2025-09-10,2025-09-17,Spot,Supramax,2025-09-12,2025-11-02,Normal,Spot,37.61,USD,50,Geared vessel required,2025-08-17T00:00:00Z
74,Coking Coal,Hard Coking Coal,50800,"Baltimore, USA",2,2023-04-04,2023-04-11,CoA,Supramax,2023-04-07,2023-05-29,Normal,CoA,37.54,USD,50,Standard,2023-03-22T00:00:00Z
75,Coking Coal,Semi-Soft Coking Coal,158400,"Balikpapan, Indonesia",1,2025-03-22,2025-03-29,CoA,Capesize,2025-03-27,2025-04-16,Normal,CoA,11.96,USD,20,Self-unloader preferred,2025-03-10T00:00:00Z
76,Iron Ore,Lump Ore,54900,"Balikpapan, Indonesia",3,2023-12-18,2023-12-23,Spot,Supramax,2023-12-20,2024-01-08,Normal,Spot,14.3,USD,20,Standard,2023-11-27T00:00:00Z
77,Coking Coal,Hard Coking Coal,75000,"Tanjung Priok, Indonesia",1,2024-07-05,2024-07-12,CoA,Panamax,2024-07-10,2024-07-27,Urgent,CoA,13.0,USD,20,Standard,2024-06-15T00:00:00Z
78,Coking Coal,PCI Coal,79500,"Hay Point, Australia",2,2025-10-05,2025-10-10,CoA,Panamax,2025-10-09,2025-11-10,Normal,CoA,21.81,USD,30,Standard,2025-09-19T00:00:00Z
79,Coking Coal,PCI Coal,159700,"Samarinda, Indonesia",4,2023-07-07,2023-07-12,CoA,Capesize,2023-07-11,2023-07-28,Normal,CoA,13.42,USD,20,Low moisture cargo,2023-06-21T00:00:00Z
80,Thermal Coal,Indonesian High Calorie Coal,51600,"Newcastle, Australia",4,2026-01-08,2026-01-15,CoA,Supramax,2026-01-10,2026-02-06,Normal,CoA,20.85,USD,30,Standard,2025-12-30T00:00:00Z
81,Coking Coal,Semi-Soft Coking Coal,71300,"Vostochny, Russia",3,2025-09-19,2025-09-24,CoA,Panamax,2025-09-22,2025-11-08,Normal,CoA,38.74,USD,50,Standard,2025-08-22T00:00:00Z
82,Iron Ore,Lump Ore,150700,"Balikpapan, Indonesia",1,2021-09-26,2021-10-01,Spot,Capesize,2021-09-27,2021-10-20,High,Spot,12.8,USD,20,Standard,2021-09-11T00:00:00Z
83,Iron Ore,Lump Ore,50200,"Maputo, Mozambique",2,2025-08-14,2025-08-19,Spot,Supramax,2025-08-18,2025-10-06,High,Spot,37.12,USD,50,Standard,2025-07-24T00:00:00Z
84,Thermal Coal,Non-Coking Coal Grade G1-G5,70300,"Norfolk, USA",4,2024-09-05,2024-09-10,Spot,Panamax,2024-09-07,2024-10-29,Normal,Spot,36.61,USD,50,Standard,2024-08-15T00:00:00Z
85,Coking Coal,Semi-Soft Coking Coal,31900,"Baltimore, USA",6,2022-06-01,2022-06-08,Spot,Handysize,2022-06-05,2022-07-26,High,Spot,45.48,USD,50,Geared vessel required,2022-05-22T00:00:00Z
86,Coking Coal,PCI Coal,55300,"Balikpapan, Indonesia",6,2025-10-12,2025-10-17,Spot,Supramax,2025-10-15,2025-11-04,Normal,Spot,14.06,USD,20,Standard,2025-09-20T00:00:00Z
87,Coking Coal,PCI Coal,140300,"Balikpapan, Indonesia",3,2022-12-25,2022-12-30,CoA,Capesize,2022-12-28,2023-01-18,Normal,CoA,9.5,USD,20,Standard,2022-12-11T00:00:00Z
88,Thermal Coal,Non-Coking Coal Grade G1-G5,58300,"Gladstone, Australia",5,2025-05-14,2025-05-19,Spot,Supramax,2025-05-17,2025-06-13,Normal,Spot,24.27,USD,30,Low moisture cargo,2025-04-28T00:00:00Z
89,Thermal Coal,Non-Coking Coal Grade G1-G5,30800,"Vostochny, Russia",6,2022-03-21,2022-03-28,Spot,Handysize,2022-03-24,2022-05-13,Normal,Spot,44.49,USD,50,Standard,2022-02-23T00:00:00Z
90,Coking Coal,Hard Coking Coal,160700,"Norfolk, USA",4,2024-03-04,2024-03-14,Spot,Capesize,2024-03-08,2024-04-30,Normal,Spot,30.77,USD,50,Standard,2024-02-20T00:00:00Z
91,Coking Coal,Hard Coking Coal,144000,"Vostochny, Russia",3,2024-05-08,2024-05-13,Spot,Capesize,2024-05-10,2024-06-29,Urgent,Spot,33.92,USD,50,Standard,2024-04-10T00:00:00Z
92,Thermal Coal,Non-Coking Coal Grade G1-G5,52700,"Gladstone, Australia",3,2025-11-28,2025-12-03,Spot,Supramax,2025-11-29,2026-01-01,High,Spot,24.67,USD,30,Fast discharge required,2025-11-09T00:00:00Z
93,Thermal Coal,Indonesian High Calorie Coal,75000,"Samarinda, Indonesia",1,2022-12-12,2022-12-17,CoA,Panamax,2022-12-14,2023-01-05,High,CoA,12.01,USD,20,Standard,2022-11-14T00:00:00Z
94,Iron Ore,Iron Ore Pellets,69800,"Samarinda, Indonesia",2,2026-03-13,2026-03-23,Spot,Panamax,2026-03-15,2026-04-04,High,Spot,15.21,USD,20,Standard,2026-02-23T00:00:00Z
95,Limestone,SMS Grade Limestone,51400,"Vostochny, Russia",1,2021-03-09,2021-03-14,CoA,Supramax,2021-03-13,2021-04-30,Normal,CoA,35.58,USD,50,Fast discharge required,2021-02-22T00:00:00Z
96,Coking Coal,Hard Coking Coal,79200,"Hay Point, Australia",2,2025-03-22,2025-03-29,Spot,Panamax,2025-03-27,2025-04-29,High,Spot,23.45,USD,30,Standard,2025-03-13T00:00:00Z
97,Coking Coal,Hard Coking Coal,175300,"Maputo, Mozambique",1,2025-05-20,2025-05-27,CoA,Capesize,2025-05-24,2025-07-15,Normal,CoA,32.06,USD,50,Standard,2025-05-10T00:00:00Z
98,Coking Coal,Semi-Soft Coking Coal,26200,"Port Hedland, Australia",6,2023-04-05,2023-04-12,CoA,Handysize,2023-04-11,2023-05-14,High,CoA,29.81,USD,30,Standard,2023-03-26T00:00:00Z
99,Thermal Coal,Indonesian High Calorie Coal,61700,"Baltimore, USA",4,2023-08-01,2023-08-06,Spot,Supramax,2023-08-05,2023-09-21,Normal,Spot,37.29,USD,50,Standard,2023-07-10T00:00:00Z
100,Thermal Coal,Non-Coking Coal Grade G1-G5,71300,"Samarinda, Indonesia",9,2022-05-04,2022-05-14,Spot,Panamax,2022-05-05,2022-05-27,Normal,Spot,13.29,USD,20,Standard,2022-04-10T00:00:00Z
101,Coking Coal,Hard Coking Coal,76000,"Hay Point, Australia",2,2025-07-13,2025-07-23,Spot,Panamax,2025-07-19,2025-08-17,Normal,Spot,26.33,USD,30,Standard,2025-06-25T00:00:00Z
102,Thermal Coal,Non-Coking Coal Grade G1-G5,77700,"Port Hedland, Australia",1,2025-07-22,2025-07-29,Spot,Panamax,2025-07-26,2025-08-28,Normal,Spot,20.99,USD,30,Standard,2025-07-01T00:00:00Z
103,Coking Coal,Hard Coking Coal,75300,"Hay Point, Australia",2,2023-08-19,2023-08-26,CoA,Panamax,2023-08-21,2023-09-18,High,CoA,24.22,USD,30,Standard,2023-08-05T00:00:00Z
104,Thermal Coal,Indonesian High Calorie Coal,77900,"Samarinda, Indonesia",2,2024-09-19,2024-09-26,Spot,Panamax,2024-09-23,2024-10-15,High,Spot,15.48,USD,20,Standard,2024-08-28T00:00:00Z
105,Coking Coal,PCI Coal,74900,"Norfolk, USA",8,2025-11-24,2025-12-01,Spot,Panamax,2025-11-26,2026-01-18,Normal,Spot,36.82,USD,50,Standard,2025-11-03T00:00:00Z
106,Thermal Coal,Indonesian High Calorie Coal,74900,"Norfolk, USA",3,2021-11-24,2021-12-01,CoA,Panamax,2021-11-29,2022-01-19,High,CoA,38.15,USD,50,Standard,2021-11-16T00:00:00Z
107,Coking Coal,Hard Coking Coal,50200,"Newcastle, Australia",1,2023-08-24,2023-08-31,CoA,Supramax,2023-08-27,2023-09-27,Normal,CoA,25.63,USD,30,Standard,2023-08-12T00:00:00Z
108,Coking Coal,Hard Coking Coal,77200,"Maputo, Mozambique",1,2025-09-15,2025-09-22,CoA,Panamax,2025-09-19,2025-11-08,Normal,CoA,38.27,USD,50,Fast discharge required,2025-08-21T00:00:00Z
109,Thermal Coal,Indonesian High Calorie Coal,57300,"Vostochny, Russia",2,2021-01-26,2021-02-05,CoA,Supramax,2021-01-31,2021-03-20,Normal,CoA,36.8,USD,50,Standard,2021-01-04T00:00:00Z
110,Iron Ore,Iron Ore Pellets,60600,"Maputo, Mozambique",2,2026-02-20,2026-02-25,Spot,Supramax,2026-02-23,2026-04-13,Normal,Spot,37.59,USD,50,Standard,2026-01-31T00:00:00Z
111,Thermal Coal,Indonesian High Calorie Coal,66000,"Balikpapan, Indonesia",1,2023-03-04,2023-03-11,Spot,Panamax,2023-03-05,2023-03-26,Urgent,Spot,16.11,USD,20,Standard,2023-02-21T00:00:00Z
112,Coking Coal,Semi-Soft Coking Coal,166500,"Port Hedland, Australia",3,2023-11-29,2023-12-13,CoA,Capesize,2023-12-05,2024-01-02,High,CoA,19.83,USD,30,Standard,2023-11-11T00:00:00Z
113,Coking Coal,PCI Coal,68200,"Vostochny, Russia",3,2026-01-14,2026-01-19,Spot,Panamax,2026-01-17,2026-03-10,Normal,Spot,38.92,USD,50,Standard,2026-01-02T00:00:00Z
114,Coking Coal,PCI Coal,147600,"Baltimore, USA",1,2024-07-17,2024-07-22,Spot,Capesize,2024-07-18,2024-09-05,Normal,Spot,33.4,USD,50,Standard,2024-06-24T00:00:00Z
115,Coking Coal,Semi-Soft Coking Coal,75000,"Port Hedland, Australia",1,2024-05-23,2024-05-30,Spot,Panamax,2024-05-27,2024-06-28,Normal,Spot,20.85,USD,30,Standard,2024-04-26T00:00:00Z
116,Coking Coal,Hard Coking Coal,34000,"Baltimore, USA",6,2025-10-07,2025-10-12,Spot,Handysize,2025-10-09,2025-11-26,High,Spot,45.98,USD,50,Geared vessel required,2025-09-14T00:00:00Z
117,Coking Coal,Semi-Soft Coking Coal,52000,"Gladstone, Australia",2,2022-04-01,2022-04-15,Spot,Supramax,2022-04-08,2022-05-09,Normal,Spot,23.04,USD,30,Standard,2022-03-05T00:00:00Z
118,Iron Ore,Lump Ore,70500,"Balikpapan, Indonesia",2,2022-05-22,2022-06-05,Spot,Panamax,2022-05-31,2022-06-21,Normal,Spot,14.34,USD,20,Standard,2022-05-02T00:00:00Z
119,Thermal Coal,Non-Coking Coal Grade G1-G5,57300,"Gladstone, Australia",4,2025-03-25,2025-04-04,CoA,Supramax,2025-03-26,2025-04-24,Normal,CoA,26.7,USD,30,Standard,2025-03-12T00:00:00Z
120,Coking Coal,Hard Coking Coal,146000,"Gladstone, Australia",3,2021-05-24,2021-06-07,Spot,Capesize,2021-06-01,2021-06-30,High,Spot,20.55,USD,30,Low moisture cargo,2021-04-27T00:00:00Z
121,Coking Coal,Semi-Soft Coking Coal,161100,"Gladstone, Australia",1,2022-10-20,2022-10-27,CoA,Capesize,2022-10-26,2022-11-22,High,CoA,17.97,USD,30,Standard,2022-09-25T00:00:00Z
122,Coking Coal,Hard Coking Coal,73500,"Gladstone, Australia",1,2021-01-09,2021-01-14,Spot,Panamax,2021-01-13,2021-02-09,Normal,Spot,24.32,USD,30,Standard,2020-12-14T00:00:00Z
123,Coking Coal,Semi-Soft Coking Coal,75700,"Vostochny, Russia",4,2024-03-02,2024-03-07,Spot,Panamax,2024-03-05,2024-04-25,Normal,Spot,38.46,USD,50,Standard,2024-02-12T00:00:00Z
124,Coking Coal,Hard Coking Coal,73900,"Norfolk, USA",4,2024-01-02,2024-01-12,Spot,Panamax,2024-01-07,2024-02-25,Normal,Spot,37.25,USD,50,Standard,2023-12-08T00:00:00Z
