vessel_id,vessel_name,vessel_class,vessel_type,dwt,capacity,length,beam,draft,age,build_year,engine_power,fuel_type,fuel_consumption,cruising_speed,max_speed,flag,owner_operator,current_port_id,operational_status,availability_date,reliability_score
V0052,Safe Legacy,Handysize,Handysize,21271,25576,165.5,26.2,9.04,19,2007,5890,VLSFO,20.98,12.5,14.6,Liberia,Jindal Steel & Power,27,Underway,2026-03-21,0.693
V0053,Mundra Voyager,Handysize,Handysize,36413,46009,184.0,29.0,10.55,7,2019,7340,VLSFO,27.1,13.6,15.3,Panama,Adani Shipping,2,Underway,2026-03-23,0.869
V0054,Ocean Prosperity,Handysize,Handysize,30645,38554,178.0,28.4,9.61,10,2016,6640,VLSFO,25.64,13.2,15.2,India,Great Eastern Shipping,32,At Anchor,2026-03-11,0.867
V0055,Ganga Horizon,Handysize,Handysize,37836,48271,187.3,29.3,10.56,12,2014,7878,VLSFO,22.67,12.8,14.9,Panama,Eagle Bulk,14,Underway,2026-03-05,0.835
V0056,Ocean Colossus,Supramax,Supramax,60343,73987,195.4,32.3,12.74,17,2009,8851,VLSFO,33.22,13.6,15.3,Marshall Islands,Great Eastern Shipping,30,Underway,2026-03-27,0.788
V0057,Samudra Navigator,Supramax,Supramax,60767,75961,195.9,31.4,12.72,14,2012,9418,VLSFO,28.54,12.7,14.9,Malta,Adani Shipping,28,Underway,2026-03-25,0.801
V0058,Eagle Titan,Supramax,Supramax,59902,76309,194.4,31.7,12.51,4,2022,9069,VLSFO/Scrubber,32.48,13.6,15.9,Panama,Navios Maritime,15,Underway,2026-03-16,0.94
V0059,Global Explorer,Supramax,Supramax,62200,76312,199.5,32.0,12.85,5,2021,9702,VLSFO,36.57,13.6,15.2,Marshall Islands,Adani Shipping,30,In Maintenance,2026-03-18,0.946
V0060,Golden Dynasty,Supramax,Supramax,61884,74814,197.6,32.2,12.75,4,2022,9419,VLSFO,31.14,13.2,15.2,India,Great Eastern Shipping,22,In Maintenance,2026-03-21,0.931
V0061,Global Fortune,Supramax,Supramax,57765,70950,194.5,32.0,12.5,5,2021,8223,VLSFO/Scrubber,30.34,12.9,14.7,Singapore,Adani Shipping,4,Underway,2026-03-06,0.922
V0062,Nordic Endeavour,Supramax,Supramax,52660,63338,188.6,31.3,11.82,7,2019,8426,VLSFO,27.7,12.4,14.0,Panama,Shipping Corporation of India (SCI),18,Underway,2026-03-21,0.924
V0063,Bunga Sunrise,Supramax,Supramax,58302,70984,194.1,32.4,11.99,16,2010,8711,VLSFO,24.04,12.1,13.7,India,Jindal Steel & Power,21,Underway,2026-03-28,0.807
V0064,Navios Leader,Supramax,Supramax,64194,80402,196.0,31.9,12.83,14,2012,9103,VLSFO,33.25,13.1,15.2,Panama,Adani Shipping,20,Underway,2026-03-05,0.789
V0065,Apex Sunrise,Supramax,Supramax,62332,77400,196.8,32.2,12.95,14,2012,9544,VLSFO,31.14,13.3,14.9,Singapore,Great Eastern Shipping,16,Underway,2026-03-25,0.824
V0066,Samudra Glory,Supramax,Supramax,54689,66563,193.5,31.3,11.89,20,2006,7790,VLSFO,32.06,12.6,14.3,Panama,Shipping Corporation of India (SCI),11,At Berth,2026-03-05,0.722
V0067,Navios Leader,Supramax,Supramax,63104,76307,197.6,31.4,12.68,7,2019,9040,VLSFO,35.14,13.8,16.1,Panama,Navios Maritime,31,At Berth,2026-03-28,0.906
V0068,Kaveri Dynasty,Supramax,Supramax,64232,80083,198.0,32.3,13.14,19,2007,9732,VLSFO,27.52,12.2,13.8,Marshall Islands,Oldendorff Carriers,13,At Anchor,2026-03-28,0.773
V0069,Ganga Master,Supramax,Supramax,56115,70295,193.4,32.2,12.07,9,2017,8204,VLSFO,26.1,12.7,14.6,Marshall Islands,Eagle Bulk,25,Underway,2026-03-14,0.888
V0070,Mundra Vanguard,Supramax,Supramax,59467,73227,196.1,32.4,12.87,3,2023,8688,VLSFO,21.57,12.2,14.4,Panama,Jindal Steel & Power,15,At Anchor,2026-02-24,0.904
V0071,Samudra Fortune,Supramax,Supramax,62984,76389,201.5,32.5,12.98,5,2021,8742,VLSFO,33.44,14.0,16.5,Liberia,Navios Maritime,16,At Berth,2026-03-18,0.878
V0072,Tashkent Horizon,Supramax,Supramax,57312,72418,188.9,31.7,12.12,4,2022,8686,VLSFO,34.58,13.9,15.4,Panama,Pacific Basin,26,Underway,2026-03-17,0.921
V0073,Iron Glory,Supramax,Supramax,58528,71844,191.9,31.9,12.63,20,2006,9002,VLSFO,27.08,12.6,14.9,Panama,Great Eastern Shipping,14,Underway,2026-03-03,0.736
V0074,Nordic Champion,Supramax,Supramax,63983,81401,200.0,32.0,13.23,22,2004,9694,VLSFO,38.41,13.4,15.0,Marshall Islands,Jindal Steel & Power,23,Underway,2026-03-09,0.706
V0075,Tashkent Trader,Supramax,Supramax,64109,81876,200.9,32.2,13.13,20,2006,9917,VLSFO,36.38,13.2,15.5,Marshall Islands,Golden Ocean Group,18,At Anchor,2026-03-03,0.747
V0076,Tashkent Prosperity,Supramax,Supramax,58036,71460,193.3,31.8,12.08,20,2006,8343,VLSFO,36.21,13.4,15.3,Cyprus,Eagle Bulk,27,At Berth,2026-03-03,0.703
V0077,Bharat Dynasty,Supramax,Supramax,64214,77382,201.5,32.2,13.03,17,2009,9767,VLSFO,34.49,13.7,15.7,Malta,Great Eastern Shipping,12,Underway,2026-03-12,0.745
V0078,Maritime Master,Supramax,Supramax,63821,77518,199.4,32.2,12.99,14,2012,9556,VLSFO,34.77,13.3,15.2,India,Golden Ocean Group,19,At Berth,2026-03-13,0.793
V0079,Star Harmony,Supramax,Supramax,57458,70888,188.8,31.5,12.59,21,2005,8168,VLSFO,30.2,12.2,14.3,India,Tata NYK Shipping,27,At Berth,2026-03-22,0.716
V0080,Yamuna Pride,Supramax,Supramax,59974,75147,199.1,32.0,12.99,7,2019,8730,VLSFO,28.35,12.8,14.7,Liberia,Golden Ocean Group,12,Underway,2026-02-28,0.867
V0081,Berge Jewel,Supramax,Supramax,61340,78299,196.7,32.0,13.19,18,2008,9656,VLSFO,29.63,12.4,14.4,Panama,Tata NYK Shipping,5,Underway,2026-03-04,0.782
V0082,Global Master,Supramax,Supramax,58877,74336,193.0,31.8,12.29,5,2021,9003,VLSFO,31.39,13.7,15.4,Liberia,Great Eastern Shipping,6,Underway,2026-03-06,0.878
V0083,Berge Voyager,Supramax,Supramax,57485,72491,194.6,31.3,12.03,3,2023,8983,VLSFO,37.47,13.9,16.4,India,Eagle Bulk,1,Underway,2026-03-12,0.966
V0084,Safe Glory,Supramax,Supramax,59102,71987,196.3,31.6,12.94,5,2021,8316,LNG Dual Fuel,33.69,13.8,16.2,Panama,Golden Ocean Group,32,Underway,2026-03-15,0.915
V0085,Maritime Leader,Supramax,Supramax,54439,68959,189.3,31.5,11.98,6,2020,7932,VLSFO,27.98,12.4,14.7,Panama,Jindal Steel & Power,9,In Maintenance,2026-03-15,0.885
V0086,Apex Pioneer,Supramax,Supramax,57406,70624,193.2,31.8,12.43,4,2022,8199,VLSFO,28.87,13.3,15.8,Panama,Golden Ocean Group,11,Underway,2026-03-22,0.918
V0087,Maritime Leader,Supramax,Supramax,54443,68128,189.7,31.2,11.77,6,2020,8265,VLSFO,27.15,12.9,14.8,Panama,Great Eastern Shipping,7,Underway,2026-03-10,0.931
V0088,Diana Explorer,Supramax,Supramax,61950,75698,197.2,32.0,12.89,15,2011,9256,VLSFO,39.82,13.8,15.7,Marshall Islands,Star Bulk Carriers,14,Underway,2026-03-23,0.812
V0089,Berge Dynasty,Supramax,Supramax,62637,79511,194.7,32.7,12.98,14,2012,9082,VLSFO,37.08,13.4,15.0,Marshall Islands,Jindal Steel & Power,24,At Anchor,2026-03-01,0.812
V0090,Ganga Express,Supramax,Supramax,53473,66660,188.0,31.6,11.93,12,2014,7803,VLSFO,37.66,13.8,15.5,Cyprus,Star Bulk Carriers,1,At Anchor,2026-03-21,0.844
V0091,Baltic Vanguard,Supramax,Supramax,56400,68103,192.1,32.3,12.5,11,2015,8434,VLSFO,30.1,12.5,14.8,Panama,Star Bulk Carriers,20,At Berth,2026-03-28,0.843
V0092,Mundra Dynasty,Supramax,Supramax,54751,65943,189.1,31.5,12.33,13,2013,8034,VLSFO,22.33,12.0,13.9,Liberia,Shipping Corporation of India (SCI),24,Underway,2026-03-26,0.796
V0093,Eagle Harmony,Supramax,Supramax,61740,78822,200.9,31.6,12.85,6,2020,9244,VLSFO,32.94,13.6,15.6,Liberia,Shipping Corporation of India (SCI),12,At Berth,2026-02-28,0.905
V0094,Ocean Endeavour,Supramax,Supramax,63286,77015,198.0,32.1,13.1,20,2006,9005,VLSFO,23.36,11.9,14.4,Marshall Islands,Jindal Steel & Power,14,At Berth,2026-03-26,0.741
V0095,Diana Harmony,Supramax,Supramax,60909,73917,195.8,32.3,12.45,5,2021,9116,VLSFO,27.74,12.6,14.9,Panama,Eagle Bulk,7,At Berth,2026-03-18,0.926
V0096,Indus Carrier,Supramax,Supramax,59110,73818,196.5,32.1,12.88,7,2019,8844,VLSFO,29.25,13.4,15.6,Panama,Star Bulk Carriers,11,At Berth,2026-03-11,0.872
V0097,Yamuna Explorer,Supramax,Supramax,62371,77336,197.3,32.2,12.62,7,2019,9382,VLSFO,31.07,13.0,15.0,Malta,Berge Bulk,16,Underway,2026-03-29,0.847
V0098,Samudra Harmony,Supramax,Supramax,54261,66988,191.7,31.1,12.03,5,2021,7569,VLSFO,28.23,13.2,14.9,Panama,Golden Ocean Group,10,Underway,2026-03-22,0.914
V0099,Maritime Pride,Supramax,Supramax,58252,70946,194.1,32.2,12.06,14,2012,8698,VLSFO,30.14,12.4,14.5,Malta,Berge Bulk,7,At Berth,2026-03-19,0.77
V0100,Mundra Explorer,Supramax,Supramax,57497,72669,195.6,31.6,12.33,15,2011,8256,VLSFO,32.28,13.0,15.1,Panama,Star Bulk Carriers,17,Underway,2026-02-28,0.782
V0101,Nordic Legacy,Supramax,Supramax,57578,69191,190.3,31.9,12.16,14,2012,8410,VLSFO,29.4,13.2,15.0,India,Navios Maritime,20,Underway,2026-03-19,0.833
V0102,Diana Master,Supramax,Supramax,62034,78926,198.1,32.2,12.8,9,2017,9315,VLSFO,26.86,12.4,14.6,Panama,Shipping Corporation of India (SCI),25,Underway,2026-03-08,0.887
V0103,Ganga Trader,Supramax,Supramax,56402,70588,191.5,31.8,11.86,8,2018,8493,VLSFO,34.32,13.7,15.9,Panama,Pacific Basin,15,Underway,2026-02-26,0.879
V0104,Baltic Voyager,Supramax,Supramax,63571,80989,200.7,32.4,12.98,2,2024,9475,VLSFO/Scrubber,36.1,14.1,16.5,Marshall Islands,Tata NYK Shipping,16,At Berth,2026-03-10,0.98
V0105,Nordic Voyager,Supramax,Supramax,61247,75811,195.2,32.4,12.38,10,2016,8773,VLSFO,33.93,13.9,16.1,Liberia,Great Eastern Shipping,7,At Anchor,2026-03-18,0.843
V0106,Berge Leader,Supramax,Supramax,55021,69075,189.7,31.3,12.13,2,2024,8121,VLSFO,31.45,13.5,15.3,Liberia,Adani Shipping,24,At Anchor,2026-03-14,0.92
V0107,Star Prosperity,Supramax,Supramax,63912,79195,199.0,32.1,13.07,18,2008,9444,VLSFO,30.85,13.2,14.7,Panama,Golden Ocean Group,2,At Berth,2026-03-06,0.759
V0108,Berge Fortune,Supramax,Supramax,53358,65711,189.6,32.1,12.04,4,2022,8004,VLSFO,29.78,13.3,14.8,Malta,Genco Shipping,11,At Berth,2026-02-24,0.94
V0109,Maritime Sunrise,Supramax,Supramax,55560,71032,191.9,31.7,12.06,22,2004,8112,VLSFO,35.59,12.9,14.5,Panama,Shipping Corporation of India (SCI),16,In Maintenance,2026-03-06,0.74
V0110,Safe Pioneer,Supramax,Supramax,52646,63557,191.0,31.6,11.86,11,2015,8036,VLSFO,30.49,13.0,15.5,Singapore,Great Eastern Shipping,28,At Berth,2026-03-09,0.859
V0111,Indus Vanguard,Supramax,Supramax,54331,66067,191.2,31.5,12.07,6,2020,8434,VLSFO,30.91,13.4,15.2,Singapore,Shipping Corporation of India (SCI),19,Underway,2026-02-25,0.88
V0112,Indus Prosperity,Supramax,Supramax,52487,66121,188.0,31.9,12.42,19,2007,8045,VLSFO,39.07,13.7,15.8,Marshall Islands,Berge Bulk,27,Underway,2026-03-14,0.757
V0113,Diana Express,Supramax,Supramax,52176,63063,189.0,31.5,11.75,16,2010,7746,VLSFO,24.02,11.9,13.7,India,Pacific Basin,1,Underway,2026-03-06,0.77
V0114,Yamuna Express,Supramax,Supramax,63606,80265,199.0,32.1,12.88,5,2021,9660,VLSFO/Scrubber,27.92,13.0,15.3,Liberia,Jindal Steel & Power,2,At Berth,2026-02-27,0.951
V0115,Ocean Pioneer,Supramax,Supramax,61627,74434,196.5,32.5,12.59,15,2011,9303,VLSFO,24.49,12.0,13.9,Singapore,Adani Shipping,14,Underway,2026-03-21,0.802
V0116,Nordic Trader,Supramax,Supramax,55217,68759,191.0,31.8,12.58,11,2015,8583,VLSFO,30.03,12.5,15.0,India,Golden Ocean Group,8,At Berth,2026-03-24,0.853
V0117,Global Endeavour,Supramax,Supramax,63619,76642,202.0,32.4,12.86,8,2018,9754,VLSFO,25.81,12.2,14.2,India,Star Bulk Carriers,11,At Berth,2026-03-07,0.888
V0118,Ganga Glory,Supramax,Supramax,53953,68724,188.5,32.0,12.13,20,2006,8925,VLSFO,36.45,13.7,16.1,Singapore,Golden Ocean Group,28,At Berth,2026-03-04,0.716
V0119,Steel Trader,Supramax,Supramax,52484,63375,188.0,32.2,11.9,2,2024,7347,VLSFO/Scrubber,25.12,12.4,14.2,Panama,Genco Shipping,13,Underway,2026-03-20,0.936
V0120,Apex Fortune,Supramax,Supramax,56851,69944,191.4,31.6,12.27,8,2018,8822,VLSFO,27.56,13.1,15.5,Panama,Genco Shipping,1,At Berth,2026-02-27,0.904
V0121,Star Voyager,Supramax,Supramax,61393,76760,196.9,31.9,12.48,8,2018,9178,VLSFO,34.92,13.7,16.1,Panama,Shipping Corporation of India (SCI),7,Underway,2026-03-20,0.89
V0122,Sagar Fortune,Supramax,Supramax,53169,65046,189.1,31.5,11.74,2,2024,7726,VLSFO,28.57,12.8,14.6,Malta,Oldendorff Carriers,11,Underway,2026-03-22,0.979
V0123,Maritime Glory,Supramax,Supramax,57451,71690,191.5,31.9,12.42,3,2023,7871,VLSFO,26.78,12.9,14.6,Singapore,Tata NYK Shipping,2,Underway,2026-02-24,0.907
V0124,Navios Horizon,Supramax,Supramax,55284,68877,188.0,31.3,12.52,10,2016,8643,VLSFO,28.51,12.8,15.1,Marshall Islands,Great Eastern Shipping,21,Underway,2026-02-26,0.906
V0125,Sagar Trader,Supramax,Supramax,61098,77533,196.1,32.4,12.93,4,2022,8957,VLSFO,24.44,12.2,14.6,Marshall Islands,Adani Shipping,32,Underway,2026-03-16,0.971
V0126,Mundra Dynasty,Supramax,Supramax,57970,70785,193.8,32.0,12.49,11,2015,9329,VLSFO,29.19,13.0,15.0,Singapore,Shipping Corporation of India (SCI),7,Underway,2026-03-17,0.858
V0127,Diana Titan,Supramax,Supramax,62595,75350,195.8,32.3,12.9,5,2021,10155,VLSFO,34.85,13.6,15.2,Bahamas,Jindal Steel & Power,9,Underway,2026-03-13,0.936
V0128,Ocean Master,Supramax,Supramax,59455,75178,196.1,32.0,12.61,15,2011,8918,VLSFO,29.19,12.5,14.3,Panama,Pacific Basin,12,Underway,2026-02-27,0.81
V0129,Tashkent Harmony,Supramax,Supramax,52842,66645,190.0,31.2,11.84,20,2006,7814,VLSFO,35.6,13.3,14.9,Marshall Islands,Navios Maritime,11,At Berth,2026-03-02,0.756
V0130,Samudra Trader,Supramax,Supramax,60304,73138,197.7,32.0,12.27,17,2009,9088,VLSFO,29.83,12.8,14.9,Liberia,Pacific Basin,7,At Anchor,2026-03-18,0.767
V0131,Kaveri Express,Supramax,Supramax,58718,72939,193.2,31.4,12.56,3,2023,8606,VLSFO,32.71,13.3,15.0,Panama,Tata NYK Shipping,28,At Berth,2026-03-08,0.931
V0132,Nordic Endeavour,Supramax,Supramax,52629,67129,188.8,31.9,12.29,10,2016,8437,VLSFO,24.68,12.2,14.0,Panama,Berge Bulk,7,At Anchor,2026-02-25,0.84
V0133,Samudra Pride,Supramax,Supramax,58526,72565,192.8,32.1,12.64,23,2003,8602,VLSFO,34.02,13.6,15.9,Marshall Islands,Adani Shipping,15,Underway,2026-03-26,0.696
V0134,Ocean Endeavour,Supramax,Supramax,54909,68300,188.8,31.6,11.86,16,2010,8086,VLSFO,34.37,13.0,14.9,Liberia,Great Eastern Shipping,9,At Berth,2026-03-18,0.8
V0135,Steel Jewel,Supramax,Supramax,60631,76547,195.9,32.6,12.52,12,2014,9012,VLSFO,29.63,13.0,15.0,Cyprus,Golden Ocean Group,6,Underway,2026-03-28,0.836
V0136,Global Navigator,Supramax,Supramax,58241,73117,193.8,31.2,12.34,23,2003,8773,VLSFO,32.24,12.7,14.2,Panama,Pacific Basin,16,Underway,2026-02-25,0.722
V0137,Diana Jewel,Supramax,Supramax,64444,81595,200.1,32.1,13.1,9,2017,9078,VLSFO,35.66,13.4,15.8,India,Berge Bulk,1,Underway,2026-03-26,0.91
V0138,Bunga Leader,Supramax,Supramax,57638,72174,194.2,31.9,12.42,19,2007,8350,VLSFO,40.07,13.6,15.2,Panama,Oldendorff Carriers,23,Underway,2026-03-22,0.746
