id,date,port_name,fuel_type,price_usd_per_mt
66,2021-01-07,Fujairah,IFO380,337.36
67,2021-01-07,Rotterdam,VLSFO,454.83
68,2021-01-07,Rotterdam,LSMGO,570.69
69,2021-01-07,Rotterdam,IFO380,327.92
70,2021-01-07,Visakhapatnam,VLSFO,515.12
71,2021-01-07,Visakhapatnam,LSMGO,710.22
72,2021-01-07,Visakhapatnam,IFO380,368.55
73,2021-01-07,Houston,VLSFO,450.83
74,2021-01-07,Houston,LSMGO,557.19
75,2021-01-07,Houston,IFO380,324.99
76,2021-01-08,Singapore,VLSFO,483.21
77,2021-01-08,Singapore,LSMGO,614.76
78,2021-01-08,Singapore,IFO380,349.26
79,2021-01-08,Fujairah,VLSFO,458.99
80,2021-01-08,Fujairah,LSMGO,604.23
81,2021-01-08,Fujairah,IFO380,329.66
82,2021-01-08,Rotterdam,VLSFO,461.15
83,2021-01-08,Rotterdam,LSMGO,587.84
84,2021-01-08,Rotterdam,IFO380,334.01
85,2021-01-08,Visakhapatnam,VLSFO,506.22
86,2021-01-08,Visakhapatnam,LSMGO,694.48
87,2021-01-08,Visakhapatnam,IFO380,367.28
88,2021-01-08,Houston,VLSFO,444.86
89,2021-01-08,Houston,LSMGO,555.9
90,2021-01-08,Houston,IFO380,322.01
91,2021-01-11,Singapore,VLSFO,487.84
92,2021-01-11,Singapore,LSMGO,622.19
93,2021-01-11,Singapore,IFO380,354.12
94,2021-01-11,Fujairah,VLSFO,475.15
95,2021-01-11,Fujairah,LSMGO,624.16
96,2021-01-11,Fujairah,IFO380,339.53
97,2021-01-11,Rotterdam,VLSFO,453.08
98,2021-01-11,Rotterdam,LSMGO,570.63
99,2021-01-11,Rotterdam,IFO380,324.97
100,2021-01-11,Visakhapatnam,VLSFO,517.0
101,2021-01-11,Visakhapatnam,LSMGO,729.28
102,2021-01-11,Visakhapatnam,IFO380,371.9
103,2021-01-11,Houston,VLSFO,448.39
104,2021-01-11,Houston,LSMGO,552.17
105,2021-01-11,Houston,IFO380,324.21
106,2021-01-12,Singapore,VLSFO,480.05
107,2021-01-12,Singapore,LSMGO,612.57
108,2021-01-12,Singapore,IFO380,344.83
109,2021-01-12,Fujairah,VLSFO,477.79
110,2021-01-12,Fujairah,LSMGO,627.13
111,2021-01-12,Fujairah,IFO380,339.74
112,2021-01-12,Rotterdam,VLSFO,459.9
113,2021-01-12,Rotterdam,LSMGO,571.68
114,2021-01-12,Rotterdam,IFO380,331.66
115,2021-01-12,Visakhapatnam,VLSFO,515.43
116,2021-01-12,Visakhapatnam,LSMGO,711.49
117,2021-01-12,Visakhapatnam,IFO380,374.35
118,2021-01-12,Houston,VLSFO,452.12
119,2021-01-12,Houston,LSMGO,549.52
120,2021-01-12,Houston,IFO380,324.09
121,2021-01-13,Singapore,VLSFO,480.79
122,2021-01-13,Singapore,LSMGO,615.06
123,2021-01-13,Singapore,IFO380,349.15
124,2021-01-13,Fujairah,VLSFO,469.36
125,2021-01-13,Fujairah,LSMGO,603.62
126,2021-01-13,Fujairah,IFO380,339.08
127,2021-01-13,Rotterdam,VLSFO,459.57
128,2021-01-13,Rotterdam,LSMGO,574.09
129,2021-01-13,Rotterdam,IFO380,325.8
130,2021-01-13,Visakhapatnam,VLSFO,506.58
131,2021-01-13,Visakhapatnam,LSMGO,686.24
132,2021-01-13,Visakhapatnam,IFO380,364.37
133,2021-01-13,Houston,VLSFO,449.37
134,2021-01-13,Houston,LSMGO,540.71
135,2021-01-13,Houston,IFO380,320.19
136,2021-01-14,Singapore,VLSFO,479.78
137,2021-01-14,Singapore,LSMGO,623.9
138,2021-01-14,Singapore,IFO380,345.79
139,2021-01-14,Fujairah,VLSFO,476.13
140,2021-01-14,Fujairah,LSMGO,618.84
141,2021-01-14,Fujairah,IFO380,346.98
142,2021-01-14,Rotterdam,VLSFO,451.55
143,2021-01-14,Rotterdam,LSMGO,561.47
144,2021-01-14,Rotterdam,IFO380,318.14
145,2021-01-14,Visakhapatnam,VLSFO,509.81
146,2021-01-14,Visakhapatnam,LSMGO,700.99
147,2021-01-14,Visakhapatnam,IFO380,370.55
148,2021-01-14,Houston,VLSFO,440.55
149,2021-01-14,Houston,LSMGO,551.77
150,2021-01-14,Houston,IFO380,319.06
151,2021-01-15,Singapore,VLSFO,490.14
152,2021-01-15,Singapore,LSMGO,635.03
153,2021-01-15,Singapore,IFO380,355.7
154,2021-01-15,Fujairah,VLSFO,477.25
155,2021-01-15,Fujairah,LSMGO,621.98
156,2021-01-15,Fujairah,IFO380,349.63
157,2021-01-15,Rotterdam,VLSFO,460.35
158,2021-01-15,Rotterdam,LSMGO,579.86
159,2021-01-15,Rotterdam,IFO380,329.94
160,2021-01-15,Visakhapatnam,VLSFO,516.71
161,2021-01-15,Visakhapatnam,LSMGO,709.48
162,2021-01-15,Visakhapatnam,IFO380,367.78
163,2021-01-15,Houston,VLSFO,452.58
164,2021-01-15,Houston,LSMGO,546.76
165,2021-01-15,Houston,IFO380,321.67
166,2021-01-18,Singapore,VLSFO,490.2
167,2021-01-18,Singapore,LSMGO,620.0
168,2021-01-18,Singapore,IFO380,355.2
169,2021-01-18,Fujairah,VLSFO,477.31
170,2021-01-18,Fujairah,LSMGO,614.08
171,2021-01-18,Fujairah,IFO380,345.87
172,2021-01-18,Rotterdam,VLSFO,454.14
173,2021-01-18,Rotterdam,LSMGO,568.76
174,2021-01-18,Rotterdam,IFO380,327.96
175,2021-01-18,Visakhapatnam,VLSFO,516.08
176,2021-01-18,Visakhapatnam,LSMGO,709.02
177,2021-01-18,Visakhapatnam,IFO380,371.44
178,2021-01-18,Houston,VLSFO,453.98
179,2021-01-18,Houston,LSMGO,556.09
180,2021-01-18,Houston,IFO380,323.0
181,2021-01-19,Singapore,VLSFO,481.09
182,2021-01-19,Singapore,LSMGO,603.98
183,2021-01-19,Singapore,IFO380,348.65
184,2021-01-19,Fujairah,VLSFO,475.35
185,2021-01-19,Fujairah,LSMGO,629.81
186,2021-01-19,Fujairah,IFO380,340.72
187,2021-01-19,Rotterdam,VLSFO,471.85
188,2021-01-19,Rotterdam,LSMGO,591.98
189,2021-01-19,Rotterdam,IFO380,333.94
190,2021-01-19,Visakhapatnam,VLSFO,518.13
191,2021-01-19,Visakhapatnam,LSMGO,721.92
192,2021-01-19,Visakhapatnam,IFO380,378.33
193,2021-01-19,Houston,VLSFO,451.0
194,2021-01-19,Houston,LSMGO,556.76
195,2021-01-19,Houston,IFO380,318.66
196,2021-01-20,Singapore,VLSFO,490.88
197,2021-01-20,Singapore,LSMGO,631.8
198,2021-01-20,Singapore,IFO380,352.83
199,2021-01-20,Fujairah,VLSFO,481.36
200,2021-01-20,Fujairah,LSMGO,631.1
201,2021-01-20,Fujairah,IFO380,346.11
202,2021-01-20,Rotterdam,VLSFO,468.34
203,2021-01-20,Rotterdam,LSMGO,601.11
204,2021-01-20,Rotterdam,IFO380,336.72
205,2021-01-20,Visakhapatnam,VLSFO,509.96
206,2021-01-20,Visakhapatnam,LSMGO,703.63
207,2021-01-20,Visakhapatnam,IFO380,364.1
208,2021-01-20,Houston,VLSFO,457.34
209,2021-01-20,Houston,LSMGO,554.73
210,2021-01-20,Houston,IFO380,326.57
211,2021-01-21,Singapore,VLSFO,484.81
212,2021-01-21,Singapore,LSMGO,624.44
213,2021-01-21,Singapore,IFO380,341.29
214,2021-01-21,Fujairah,VLSFO,474.54
215,2021-01-21,Fujairah,LSMGO,626.32
216,2021-01-21,Fujairah,IFO380,335.36
217,2021-01-21,Rotterdam,VLSFO,470.77
218,2021-01-21,Rotterdam,LSMGO,581.66
219,2021-01-21,Rotterdam,IFO380,347.84
220,2021-01-21,Visakhapatnam,VLSFO,519.67
221,2021-01-21,Visakhapatnam,LSMGO,718.65
222,2021-01-21,Visakhapatnam,IFO380,373.05
223,2021-01-21,Houston,VLSFO,451.98
224,2021-01-21,Houston,LSMGO,547.15
225,2021-01-21,Houston,IFO380,319.54
226,2021-01-22,Singapore,VLSFO,485.74
227,2021-01-22,Singapore,LSMGO,627.69
228,2021-01-22,Singapore,IFO380,347.78
229,2021-01-22,Fujairah,VLSFO,474.85
230,2021-01-22,Fujairah,LSMGO,618.5
231,2021-01-22,Fujairah,IFO380,336.47
232,2021-01-22,Rotterdam,VLSFO,464.61
233,2021-01-22,Rotterdam,LSMGO,594.92
234,2021-01-22,Rotterdam,IFO380,331.46
235,2021-01-22,Visakhapatnam,VLSFO,522.21
236,2021-01-22,Visakhapatnam,LSMGO,716.69
237,2021-01-22,Visakhapatnam,IFO380,379.87
238,2021-01-22,Houston,VLSFO,445.1
239,2021-01-22,Houston,LSMGO,543.9
240,2021-01-22,Houston,IFO380,322.09
241,2021-01-25,Singapore,VLSFO,487.13
242,2021-01-25,Singapore,LSMGO,631.05
243,2021-01-25,Singapore,IFO380,352.13
244,2021-01-25,Fujairah,VLSFO,478.94
245,2021-01-25,Fujairah,LSMGO,618.88
246,2021-01-25,Fujairah,IFO380,345.48
247,2021-01-25,Rotterdam,VLSFO,464.19
248,2021-01-25,Rotterdam,LSMGO,576.64
249,2021-01-25,Rotterdam,IFO380,326.52
250,2021-01-25,Visakhapatnam,VLSFO,518.35
251,2021-01-25,Visakhapatnam,LSMGO,720.3
252,2021-01-25,Visakhapatnam,IFO380,362.43
253,2021-01-25,Houston,VLSFO,460.98
254,2021-01-25,Houston,LSMGO,558.11
255,2021-01-25,Houston,IFO380,329.96
256,2021-01-26,Singapore,VLSFO,491.69
257,2021-01-26,Singapore,LSMGO,627.3
258,2021-01-26,Singapore,IFO380,356.96
259,2021-01-26,Fujairah,VLSFO,474.67
260,2021-01-26,Fujairah,LSMGO,616.23
261,2021-01-26,Fujairah,IFO380,338.74
262,2021-01-26,Rotterdam,VLSFO,469.85
263,2021-01-26,Rotterdam,LSMGO,583.66
264,2021-01-26,Rotterdam,IFO380,338.66
265,2021-01-26,Visakhapatnam,VLSFO,518.26
266,2021-01-26,Visakhapatnam,LSMGO,723.01
267,2021-01-26,Visakhapatnam,IFO380,373.29
268,2021-01-26,Houston,VLSFO,466.23
269,2021-01-26,Houston,LSMGO,583.25
270,2021-01-26,Houston,IFO380,334.59
271,2021-01-27,Singapore,VLSFO,498.08
272,2021-01-27,Singapore,LSMGO,649.11
273,2021-01-27,Singapore,IFO380,364.6
274,2021-01-27,Fujairah,VLSFO,469.0
275,2021-01-27,Fujairah,LSMGO,608.99
276,2021-01-27,Fujairah,IFO380,341.22
277,2021-01-27,Rotterdam,VLSFO,460.71
278,2021-01-27,Rotterdam,LSMGO,577.15
279,2021-01-27,Rotterdam,IFO380,331.0
280,2021-01-27,Visakhapatnam,VLSFO,517.32
281,2021-01-27,Visakhapatnam,LSMGO,732.07
282,2021-01-27,Visakhapatnam,IFO380,365.49
283,2021-01-27,Houston,VLSFO,462.74
284,2021-01-27,Houston,LSMGO,569.44
285,2021-01-27,Houston,IFO380,327.02
286,2021-01-28,Singapore,VLSFO,490.25
287,2021-01-28,Singapore,LSMGO,636.56
288,2021-01-28,Singapore,IFO380,348.88
289,2021-01-28,Fujairah,VLSFO,481.77
290,2021-01-28,Fujairah,LSMGO,636.94
291,2021-01-28,Fujairah,IFO380,342.6
292,2021-01-28,Rotterdam,VLSFO,465.93
293,2021-01-28,Rotterdam,LSMGO,592.48
294,2021-01-28,Rotterdam,IFO380,332.63
295,2021-01-28,Visakhapatnam,VLSFO,517.71
296,2021-01-28,Visakhapatnam,LSMGO,714.06
297,2021-01-28,Visakhapatnam,IFO380,370.32
298,2021-01-28,Houston,VLSFO,451.22
299,2021-01-28,Houston,LSMGO,552.75
300,2021-01-28,Houston,IFO380,324.85
301,2021-01-29,Singapore,VLSFO,479.78
302,2021-01-29,Singapore,LSMGO,604.47
303,2021-01-29,Singapore,IFO380,338.94
304,2021-01-29,Fujairah,VLSFO,485.38
305,2021-01-29,Fujairah,LSMGO,642.34
306,2021-01-29,Fujairah,IFO380,347.7
307,2021-01-29,Rotterdam,VLSFO,460.02
308,2021-01-29,Rotterdam,LSMGO,576.59
309,2021-01-29,Rotterdam,IFO380,329.16
310,2021-01-29,Visakhapatnam,VLSFO,516.03
311,2021-01-29,Visakhapatnam,LSMGO,712.36
312,2021-01-29,Visakhapatnam,IFO380,373.84
313,2021-01-29,Houston,VLSFO,456.69
314,2021-01-29,Houston,LSMGO,567.23
315,2021-01-29,Houston,IFO380,324.43
316,2021-02-01,Singapore,VLSFO,501.74
317,2021-02-01,Singapore,LSMGO,634.82
318,2021-02-01,Singapore,IFO380,353.27
319,2021-02-01,Fujairah,VLSFO,474.72
320,2021-02-01,Fujairah,LSMGO,620.0
321,2021-02-01,Fujairah,IFO380,343.09
322,2021-02-01,Rotterdam,VLSFO,473.31
323,2021-02-01,Rotterdam,LSMGO,595.06
324,2021-02-01,Rotterdam,IFO380,336.43
325,2021-02-01,Visakhapatnam,VLSFO,516.02
326,2021-02-01,Visakhapatnam,LSMGO,705.68
327,2021-02-01,Visakhapatnam,IFO380,367.02
328,2021-02-01,Houston,VLSFO,452.59
329,2021-02-01,Houston,LSMGO,556.38
330,2021-02-01,Houston,IFO380,326.23
331,2021-02-02,Singapore,VLSFO,496.75
332,2021-02-02,Singapore,LSMGO,645.24
333,2021-02-02,Singapore,IFO380,359.15
334,2021-02-02,Fujairah,VLSFO,485.94
335,2021-02-02,Fujairah,LSMGO,625.64
336,2021-02-02,Fujairah,IFO380,348.79
337,2021-02-02,Rotterdam,VLSFO,456.13
338,2021-02-02,Rotterdam,LSMGO,571.22
339,2021-02-02,Rotterdam,IFO380,327.96
340,2021-02-02,Visakhapatnam,VLSFO,520.19
341,2021-02-02,Visakhapatnam,LSMGO,717.27
342,2021-02-02,Visakhapatnam,IFO380,368.95
343,2021-02-02,Houston,VLSFO,455.56
344,2021-02-02,Houston,LSMGO,545.46
345,2021-02-02,Houston,IFO380,335.2
346,2021-02-03,Singapore,VLSFO,489.27
347,2021-02-03,Singapore,LSMGO,625.06
348,2021-02-03,Singapore,IFO380,345.68
349,2021-02-03,Fujairah,VLSFO,475.81
350,2021-02-03,Fujairah,LSMGO,606.1
351,2021-02-03,Fujairah,IFO380,350.34
352,2021-02-03,Rotterdam,VLSFO,465.21
353,2021-02-03,Rotterdam,LSMGO,587.59
354,2021-02-03,Rotterdam,IFO380,336.52
355,2021-02-03,Visakhapatnam,VLSFO,517.01
356,2021-02-03,Visakhapatnam,LSMGO,707.61
357,2021-02-03,Visakhapatnam,IFO380,371.98
358,2021-02-03,Houston,VLSFO,451.88
359,2021-02-03,Houston,LSMGO,544.56
360,2021-02-03,Houston,IFO380,328.31
361,2021-02-04,Singapore,VLSFO,490.55
362,2021-02-04,Singapore,LSMGO,630.49
363,2021-02-04,Singapore,IFO380,349.18
364,2021-02-04,Fujairah,VLSFO,478.14
365,2021-02-04,Fujairah,LSMGO,621.97
366,2021-02-04,Fujairah,IFO380,347.97
367,2021-02-04,Rotterdam,VLSFO,465.12
368,2021-02-04,Rotterdam,LSMGO,587.75
369,2021-02-04,Rotterdam,IFO380,336.15
370,2021-02-04,Visakhapatnam,VLSFO,524.14
371,2021-02-04,Visakhapatnam,LSMGO,712.75
372,2021-02-04,Visakhapatnam,IFO380,377.27
373,2021-02-04,Houston,VLSFO,449.06
374,2021-02-04,Houston,LSMGO,560.0
375,2021-02-04,Houston,IFO380,323.36
376,2021-02-05,Singapore,VLSFO,492.59
377,2021-02-05,Singapore,LSMGO,624.09
378,2021-02-05,Singapore,IFO380,353.1
379,2021-02-05,Fujairah,VLSFO,479.49
380,2021-02-05,Fujairah,LSMGO,618.18
381,2021-02-05,Fujairah,IFO380,346.98
382,2021-02-05,Rotterdam,VLSFO,466.83
383,2021-02-05,Rotterdam,LSMGO,581.58
384,2021-02-05,Rotterdam,IFO380,339.32
385,2021-02-05,Visakhapatnam,VLSFO,524.71
386,2021-02-05,Visakhapatnam,LSMGO,727.49
387,2021-02-05,Visakhapatnam,IFO380,381.11
388,2021-02-05,Houston,VLSFO,456.16
389,2021-02-05,Houston,LSMGO,570.14
390,2021-02-05,Houston,IFO380,325.91
391,2021-02-08,Singapore,VLSFO,497.55
392,2021-02-08,Singapore,LSMGO,640.18
393,2021-02-08,Singapore,IFO380,350.24
394,2021-02-08,Fujairah,VLSFO,478.82
395,2021-02-08,Fujairah,LSMGO,629.52
396,2021-02-08,Fujairah,IFO380,344.46
397,2021-02-08,Rotterdam,VLSFO,470.02
398,2021-02-08,Rotterdam,LSMGO,581.08
399,2021-02-08,Rotterdam,IFO380,336.65
400,2021-02-08,Visakhapatnam,VLSFO,523.3
401,2021-02-08,Visakhapatnam,LSMGO,720.77
402,2021-02-08,Visakhapatnam,IFO380,379.99
403,2021-02-08,Houston,VLSFO,460.89
404,2021-02-08,Houston,LSMGO,579.15
405,2021-02-08,Houston,IFO380,325.06
406,2021-02-09,Singapore,VLSFO,491.38
407,2021-02-09,Singapore,LSMGO,636.01
408,2021-02-09,Singapore,IFO380,348.57
409,2021-02-09,Fujairah,VLSFO,480.08
410,2021-02-09,Fujairah,LSMGO,637.94
411,2021-02-09,Fujairah,IFO380,345.07
412,2021-02-09,Rotterdam,VLSFO,468.1
413,2021-02-09,Rotterdam,LSMGO,581.56
414,2021-02-09,Rotterdam,IFO380,335.62
415,2021-02-09,Visakhapatnam,VLSFO,530.94
416,2021-02-09,Visakhapatnam,LSMGO,733.11
417,2021-02-09,Visakhapatnam,IFO380,374.29
418,2021-02-09,Houston,VLSFO,453.9
419,2021-02-09,Houston,LSMGO,551.24
420,2021-02-09,Houston,IFO380,326.7
421,2021-02-10,Singapore,VLSFO,487.46
422,2021-02-10,Singapore,LSMGO,621.91
423,2021-02-10,Singapore,IFO380,347.9
424,2021-02-10,Fujairah,VLSFO,487.8
425,2021-02-10,Fujairah,LSMGO,646.66
426,2021-02-10,Fujairah,IFO380,348.34
427,2021-02-10,Rotterdam,VLSFO,463.46
428,2021-02-10,Rotterdam,LSMGO,577.33
429,2021-02-10,Rotterdam,IFO380,336.68
430,2021-02-10,Visakhapatnam,VLSFO,525.99
431,2021-02-10,Visakhapatnam,LSMGO,732.88
432,2021-02-10,Visakhapatnam,IFO380,379.55
433,2021-02-10,Houston,VLSFO,452.08
434,2021-02-10,Houston,LSMGO,549.04
435,2021-02-10,Houston,IFO380,326.17
436,2021-02-11,Singapore,VLSFO,498.6
437,2021-02-11,Singapore,LSMGO,635.2
438,2021-02-11,Singapore,IFO380,364.38
439,2021-02-11,Fujairah,VLSFO,488.97
440,2021-02-11,Fujairah,LSMGO,631.78
441,2021-02-11,Fujairah,IFO380,352.62
442,2021-02-11,Rotterdam,VLSFO,466.9
443,2021-02-11,Rotterdam,LSMGO,589.83
444,2021-02-11,Rotterdam,IFO380,331.74
445,2021-02-11,Visakhapatnam,VLSFO,527.67
446,2021-02-11,Visakhapatnam,LSMGO,727.16
447,2021-02-11,Visakhapatnam,IFO380,384.66
448,2021-02-11,Houston,VLSFO,453.41
449,2021-02-11,Houston,LSMGO,559.91
450,2021-02-11,Houston,IFO380,328.64
451,2021-02-12,Singapore,VLSFO,499.85
452,2021-02-12,Singapore,LSMGO,647.22
453,2021-02-12,Singapore,IFO380,358.05
454,2021-02-12,Fujairah,VLSFO,480.08
455,2021-02-12,Fujairah,LSMGO,624.0
456,2021-02-12,Fujairah,IFO380,348.89
457,2021-02-12,Rotterdam,VLSFO,473.72
458,2021-02-12,Rotterdam,LSMGO,603.08
459,2021-02-12,Rotterdam,IFO380,344.67
460,2021-02-12,Visakhapatnam,VLSFO,530.67
461,2021-02-12,Visakhapatnam,LSMGO,717.93
462,2021-02-12,Visakhapatnam,IFO380,383.23
463,2021-02-12,Houston,VLSFO,457.66
464,2021-02-12,Houston,LSMGO,572.39
465,2021-02-12,Houston,IFO380,326.06
466,2021-02-15,Singapore,VLSFO,497.32
467,2021-02-15,Singapore,LSMGO,638.5
468,2021-02-15,Singapore,IFO380,356.21
469,2021-02-15,Fujairah,VLSFO,481.31
470,2021-02-15,Fujairah,LSMGO,634.92
471,2021-02-15,Fujairah,IFO380,347.83
472,2021-02-15,Rotterdam,VLSFO,468.62
473,2021-02-15,Rotterdam,LSMGO,578.93
474,2021-02-15,Rotterdam,IFO380,334.31
475,2021-02-15,Visakhapatnam,VLSFO,523.81
476,2021-02-15,Visakhapatnam,LSMGO,720.74
477,2021-02-15,Visakhapatnam,IFO380,381.23
478,2021-02-15,Houston,VLSFO,452.41
479,2021-02-15,Houston,LSMGO,549.09
480,2021-02-15,Houston,IFO380,324.96
481,2021-02-16,Singapore,VLSFO,500.61
482,2021-02-16,Singapore,LSMGO,643.42
483,2021-02-16,Singapore,IFO380,361.6
484,2021-02-16,Fujairah,VLSFO,485.94
485,2021-02-16,Fujairah,LSMGO,638.2
486,2021-02-16,Fujairah,IFO380,343.59
487,2021-02-16,Rotterdam,VLSFO,466.84
488,2021-02-16,Rotterdam,LSMGO,586.95
489,2021-02-16,Rotterdam,IFO380,345.78
490,2021-02-16,Visakhapatnam,VLSFO,524.27
491,2021-02-16,Visakhapatnam,LSMGO,721.91
492,2021-02-16,Visakhapatnam,IFO380,381.36
493,2021-02-16,Houston,VLSFO,448.12
494,2021-02-16,Houston,LSMGO,549.3
495,2021-02-16,Houston,IFO380,318.59
496,2021-02-17,Singapore,VLSFO,498.48
497,2021-02-17,Singapore,LSMGO,642.26
498,2021-02-17,Singapore,IFO380,362.62
499,2021-02-17,Fujairah,VLSFO,488.53
500,2021-02-17,Fujairah,LSMGO,637.16
501,2021-02-17,Fujairah,IFO380,353.76
502,2021-02-17,Rotterdam,VLSFO,466.73
503,2021-02-17,Rotterdam,LSMGO,575.21
504,2021-02-17,Rotterdam,IFO380,339.0
505,2021-02-17,Visakhapatnam,VLSFO,521.07
506,2021-02-17,Visakhapatnam,LSMGO,713.71
507,2021-02-17,Visakhapatnam,IFO380,373.97
508,2021-02-17,Houston,VLSFO,461.22
509,2021-02-17,Houston,LSMGO,574.34
510,2021-02-17,Houston,IFO380,327.39
511,2021-02-18,Singapore,VLSFO,496.11
512,2021-02-18,Singapore,LSMGO,628.03
513,2021-02-18,Singapore,IFO380,363.43
514,2021-02-18,Fujairah,VLSFO,485.42
515,2021-02-18,Fujairah,LSMGO,630.16
516,2021-02-18,Fujairah,IFO380,346.28
517,2021-02-18,Rotterdam,VLSFO,475.34
518,2021-02-18,Rotterdam,LSMGO,601.3
519,2021-02-18,Rotterdam,IFO380,335.63
520,2021-02-18,Visakhapatnam,VLSFO,524.79
521,2021-02-18,Visakhapatnam,LSMGO,719.06
522,2021-02-18,Visakhapatnam,IFO380,376.91
523,2021-02-18,Houston,VLSFO,468.76
524,2021-02-18,Houston,LSMGO,569.34
525,2021-02-18,Houston,IFO380,341.25
526,2021-02-19,Singapore,VLSFO,495.35
527,2021-02-19,Singapore,LSMGO,626.1
528,2021-02-19,Singapore,IFO380,354.8
529,2021-02-19,Fujairah,VLSFO,485.76
530,2021-02-19,Fujairah,LSMGO,642.72
531,2021-02-19,Fujairah,IFO380,344.89
532,2021-02-19,Rotterdam,VLSFO,474.44
533,2021-02-19,Rotterdam,LSMGO,592.7
534,2021-02-19,Rotterdam,IFO380,341.44
535,2021-02-19,Visakhapatnam,VLSFO,522.85
536,2021-02-19,Visakhapatnam,LSMGO,712.48
537,2021-02-19,Visakhapatnam,IFO380,382.3
538,2021-02-19,Houston,VLSFO,450.42
539,2021-02-19,Houston,LSMGO,553.84
540,2021-02-19,Houston,IFO380,331.52
541,2021-02-22,Singapore,VLSFO,494.63
542,2021-02-22,Singapore,LSMGO,637.59
543,2021-02-22,Singapore,IFO380,351.65
544,2021-02-22,Fujairah,VLSFO,486.77
545,2021-02-22,Fujairah,LSMGO,634.93
546,2021-02-22,Fujairah,IFO380,358.51
547,2021-02-22,Rotterdam,VLSFO,467.23
548,2021-02-22,Rotterdam,LSMGO,570.32
549,2021-02-22,Rotterdam,IFO380,338.73
550,2021-02-22,Visakhapatnam,VLSFO,533.03
551,2021-02-22,Visakhapatnam,LSMGO,743.76
552,2021-02-22,Visakhapatnam,IFO380,383.94
553,2021-02-22,Houston,VLSFO,456.17
554,2021-02-22,Houston,LSMGO,563.42
555,2021-02-22,Houston,IFO380,324.76
556,2021-02-23,Singapore,VLSFO,499.01
557,2021-02-23,Singapore,LSMGO,638.39
558,2021-02-23,Singapore,IFO380,356.43
559,2021-02-23,Fujairah,VLSFO,482.14
560,2021-02-23,Fujairah,LSMGO,634.58
561,2021-02-23,Fujairah,IFO380,347.76
